name,size,price,url
Carmen Gran Reserva Cabernet Sauvignon,750ml,16.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/cabernet-sauvignon/carmen-gran-reserva-cabernet-sauvignon/p/213696750?s=2201&igrules=true
Louis Bouillot Perle de Vigne Brut,750ml,17.99,https://www.totalwine.com/wine/deals/gift-center/champagne-sparkling-wine/sparkling-wine/brut/louis-bouillot-perle-de-vigne-brut/p/93457750?s=2201&igrules=true
Le Pont Bandol,750ml,22.99,https://www.totalwine.com/wine/red-wine/rhone-blend/le-pont-bandol/p/14467750?s=2201&igrules=true
Courtney Benham Cabernet Terroir Selection,750ml,16.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/courtney-benham-cabernet-terroir-selection/p/235571750?s=2201&igrules=true
Renieri Rosso di Montalcino,750ml,19.99,https://www.totalwine.com/wine/red-wine/sangiovese/renieri-rosso-di-montalcino/p/113712750?s=2201&igrules=true
Cabernario No.8 Cabernet Sauvignon,750ml,16.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/cabernet-sauvignon/cabernario-no-8-cabernet-sauvignon/p/213689750?s=2201&igrules=true
Butter Knife Chardonnay,750ml,15.99,https://www.totalwine.com/wine/new-arrivals/white-wine/chardonnay/butter-knife-chardonnay/p/174052750?s=2201&igrules=true
Parcelica Chica Monastrell,750ml,11.99,https://www.totalwine.com/wine/new-arrivals/red-wine/red-blend/parcelica-chica-monastrell/p/227755750?s=2201&igrules=true
La Vostra Prosecco,750ml,10.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/prosecco/brut/la-vostra-prosecco/p/172976750?s=2201&igrules=true
Tesoro della Regina Pinot Grigio,750ml,15.99,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/tesoro-della-regina-pinot-grigio/p/110475750?s=2201&igrules=true
Tsarine Brut Premium Cuvee,750ml,44.99,https://www.totalwine.com/wine/gift-center/champagne-sparkling-wine/champagne/brut/tsarine-brut-premium-cuvee/p/126090750?s=2201&igrules=true
Domaine Loubejac Pinot Noir Willamette Valley,750ml,19.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/domaine-loubejac-pinot-noir-willamette-valley/p/130390750?s=2201&igrules=true
Iter Chardonnay California,750ml,8.99,https://www.totalwine.com/wine/deals/new-arrivals/white-wine/chardonnay/iter-chardonnay-california/p/164293750?s=2201&igrules=true
Samuel Robert Rose Willamette Vintner's Reserve,750ml,14.99,https://www.totalwine.com/wine/rose-blush-wine/pinot-noir/samuel-robert-rose-willamette-vintners-reserve/p/214758750?s=2201&igrules=true
Amici Cabernet Sauvignon Napa,750ml,49.99,https://www.totalwine.com/wine/gift-center/deals/red-wine/cabernet-sauvignon/amici-cabernet-sauvignon-napa/p/20095750?s=2201&igrules=true
Montet Sauvignon Blanc,750ml,11.99,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/montet-sauvignon-blanc/p/91610750?s=2201&igrules=true
Le Colline Pinot Noir,750ml,9.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/le-colline-pinot-noir/p/107866750?s=2201&igrules=true
Josh Cellars Bourbon Barrel Cabernet Sauvignon Family Reserve,750ml,18.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/josh-cellars-bourbon-barrel-cabernet-sauvignon-family-reserve/p/219918750?s=2201&igrules=true
L'Auratae Organic Vegan Nero d'Avola,750ml,8.99,https://www.totalwine.com/wine/deals/red-wine/nero-davola/lauratae-organic-vegan-nero-davola/p/190095750?s=2201&igrules=true
Il Duca Imperiale Red,750ml,9.99,https://www.totalwine.com/wine/red-wine/red-blend/il-duca-imperiale-red/p/174057750?s=2201&igrules=true
Giant Sky Marlborough Sauv Blanc,750ml,10.99,https://www.totalwine.com/wine/new-arrivals/white-wine/sauvignon-blanc/giant-sky-marlborough-sauv-blanc/p/171347750?s=2201&igrules=true
Mato Bay Reserve Marlborough Sauvignon Blanc,750ml,12.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/mato-bay-reserve-marlborough-sauvignon-blanc/p/233824750?s=2201&igrules=true
Chateau de Camarsac Bordeaux Superieur,750ml,12.99,https://www.totalwine.com/wine/deals/red-wine/bordeaux-blend/chateau-de-camarsac-bordeaux-superieur/p/96510750?s=2201&igrules=true
Halos de Jupiter Cotes du Rhone,750ml,17.99,https://www.totalwine.com/wine/red-wine/rhone-blend/halos-de-jupiter-cotes-du-rhone/p/113394750?s=2201&igrules=true
Gordon Estate Syrah,750ml,19.99,https://www.totalwine.com/wine/red-wine/syrah-shiraz/gordon-estate-syrah/p/93648750?s=2201&igrules=true
Jacqueline Leonne Rose,750ml,14.99,https://www.totalwine.com/wine/champagne-sparkling-wine/sparkling-wine/rose/jacqueline-leonne-rose/p/147682750?s=2201&igrules=true
Macchia Zinfandel Mischievous Lodi,750ml,24.99,https://www.totalwine.com/wine/deals/red-wine/zinfandel/macchia-zinfandel-mischievous-lodi/p/105056750?s=2201&igrules=true
Crossfork Creek Merlot Yakima,750ml,24.99,https://www.totalwine.com/wine/red-wine/merlot/crossfork-creek-merlot-yakima/p/170802750?s=2201&igrules=true
Samuel Robert Winery Pinot Noir Vintner's Reserve Willamette,750ml,15.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/samuel-robert-winery-pinot-noir-vintners-reserve-willamette/p/181110750?s=2201&igrules=true
Lloyd Chardonnay Carneros,750ml,44.99,https://www.totalwine.com/wine/gift-center/deals/white-wine/chardonnay/lloyd-chardonnay-carneros/p/109285750?s=2201&igrules=true
Iter Cabernet Napa,750ml,19.99,https://www.totalwine.com/wine/deals/new-arrivals/red-wine/cabernet-sauvignon/iter-cabernet-napa/p/142211750?s=2201&igrules=true
Buttercream Chardonnay,750ml,13.99,https://www.totalwine.com/wine/new-arrivals/deals/white-wine/chardonnay/buttercream-chardonnay/p/171353750?s=2201&igrules=true
Beau Vigne Cabernet Romeo Napa,750ml,99.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/beau-vigne-cabernet-romeo-napa/p/235182750?s=2201&igrules=true
Conscious Pinot Noir Willamette Valley,750ml,13.99,https://www.totalwine.com/wine/red-wine/pinot-noir/conscious-pinot-noir-willamette-valley/p/223933750?s=2201&igrules=true
River Road Chardonnay Russian River Valley Reserve,750ml,19.99,https://www.totalwine.com/wine/white-wine/chardonnay/river-road-chardonnay-russian-river-valley-reserve/p/93152750?s=2201&igrules=true
Oak Ridge Zinfandel AV Estate Grown Lodi,750ml,14.99,https://www.totalwine.com/wine/red-wine/zinfandel/oak-ridge-zinfandel-av-estate-grown-lodi/p/36258750?s=2201&igrules=true
Caymus Cabernet,750ml,75.97,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/caymus-cabernet/p/223968750?s=2201&igrules=true
Borrasca Prosecco DOCG,750ml,14.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/prosecco/brut/borrasca-prosecco-docg/p/219505750?s=2201&igrules=true
Double Black Cabernet Sauvignon Paso Robles,750ml,13.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/double-black-cabernet-sauvignon-paso-robles/p/216029750?s=2201&igrules=true
Radius Cabernet,750ml,12.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/radius-cabernet/p/109682750?s=2201&igrules=true
Verdon Estate Proprietary Red Blueline Vineyards Napa Valley,750ml,49.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/verdon-estate-proprietary-red-blueline-vineyards-napa-valley/p/235186750?s=2201&igrules=true
Alta Nova Cabernet Napa,750ml,69.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/alta-nova-cabernet-napa/p/230635750?s=2201&igrules=true
Borrasca Premium Cuvee,750ml,19.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/sparkling-wine/demi-sec/borrasca-premium-cuvee/p/231195750?s=2201&igrules=true
Tesoro della Regina Chianti Classico,750ml,14.99,https://www.totalwine.com/wine/red-wine/sangiovese/tesoro-della-regina-chianti-classico/p/130283750?s=2201&igrules=true
Carson Ridge Cabernet Sauvignon,750ml,11.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/carson-ridge-cabernet-sauvignon/p/133453750?s=2201&igrules=true
Governors Bay Sauvignon Blanc,750ml,12.99,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/governors-bay-sauvignon-blanc/p/139834750?s=2201&igrules=true
TULI Pinot Noir Sonoma County,750ml,29.99,https://www.totalwine.com/wine/gift-center/red-wine/pinot-noir/tuli-pinot-noir-sonoma-county/p/143686750?s=2201&igrules=true
Seven Rings Cabernet Sauvignon Oak Knoll,750ml,34.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/seven-rings-cabernet-sauvignon-oak-knoll/p/142242750?s=2201&igrules=true
Courtney Benham Cabernet Sauvignon Napa,750ml,24.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/courtney-benham-cabernet-sauvignon-napa/p/79201750?s=2201&igrules=true
D'Autrefois Pinot Noir,750ml,13.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/dautrefois-pinot-noir/p/95164750?s=2201&igrules=true
Beau Vigne Cabernet Legacy Napa,750ml,74.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/beau-vigne-cabernet-legacy-napa/p/235184750?s=2201&igrules=true
Mina Mesa Cabernet Sauvignon,750ml,10.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/mina-mesa-cabernet-sauvignon/p/194460750?s=2201&igrules=true
River Road Pinot Noir Russian River Valley Reserve,750ml,23.99,https://www.totalwine.com/wine/red-wine/pinot-noir/river-road-pinot-noir-russian-river-valley-reserve/p/92745750?s=2201&igrules=true
Iter Pinot Noir California,750ml,14.99,https://www.totalwine.com/wine/deals/new-arrivals/red-wine/pinot-noir/iter-pinot-noir-california/p/164292750?s=2201&igrules=true
Mascota Vineyards La Mascota Cabernet Sauvignon,750ml,14.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/mascota-vineyards-la-mascota-cabernet-sauvignon/p/130009750?s=2201&igrules=true
Singerstone Sauvignon Blanc,750ml,12.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/singerstone-sauvignon-blanc/p/235692750?s=2201&igrules=true
Armani Pinot Grigio Venezie,750ml,11.99,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/armani-pinot-grigio-venezie/p/14445750?s=2201&igrules=true
Courtney Benham Chardonnay Napa,750ml,19.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/courtney-benham-chardonnay-napa/p/124682750?s=2201&igrules=true
Rock View Chardonnay Reserve Mendocino,750ml,25.99,https://www.totalwine.com/wine/deals/gift-center/white-wine/chardonnay/rock-view-chardonnay-reserve-mendocino/p/117938750?s=2201&igrules=true
Beau Vigne Cabernet Juliet Napa,750ml,99.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/beau-vigne-cabernet-juliet-napa/p/235180750?s=2201&igrules=true
